u,rho,P,T,h,gamma,mu,k
60000,0.5,12045.9541789757,81.5141625770193,84091.9083579514,1.39914412285612,5.66169286665373e-06,0.00747007692735048
60000,6,143031.593674057,84.3186024561899,83838.5989456762,1.39115296156847,5.94613878595186e-06,0.00792993096787176
60000,11.5,271508.575027786,87.0000479334229,83609.441306764,1.38472709826004,6.22005733588522e-06,0.00841521699958094
60000,17,404563.445289338,91.3691547618481,83797.8497229017,1.39309479347984,6.60554934693509e-06,0.0090919256971003
60000,22.5,536897.747493773,94.9123537158013,83862.1221108339,1.39892953251045,6.933351467115e-06,0.00971070746225291
60000,28,667464.988117305,97.8313330188114,83838.0352899035,1.40256150213643,7.21877468667705e-06,0.0102916332414117
60000,33.5,796026.45511161,100.326366026647,83761.9837346748,1.4048647741256,7.47622206520879e-06,0.010853994874711
60000,39,922472.279065389,102.51163678815,83653.1353606509,1.40635996431621,7.71394253045465e-06,0.01140859472308
60000,44.5,1046757.03158729,104.459021749978,83522.6299233099,1.40745268818534,7.93716058248746e-06,0.0119621036713529
60000,50,1168870.18057834,106.216988196022,83377.4036115668,1.40849625544827,8.14942677505e-06,0.0125189743121799
60000,55.5,1288821.38896633,107.819925469006,83222.0070084023,1.40974999040018,8.35328437287375e-06,0.0130824500129593
60000,61,1406632.16161812,109.293207083225,83059.5436330839,1.4113285411825,8.5506309867553e-06,0.013655129065253
60000,66.5,1522330.1900267,110.656135548911,82892.1833086721,1.41321140625836,8.74292897420958e-06,0.0142392254098204
60000,72,1635945.19480167,111.923754950092,82721.4610389121,1.41531257666691,8.93133494348448e-06,0.0148366188241679
60000,77.5,1747505.98254635,113.108022033893,82548.4642909206,1.41756175802244,9.1167833835502e-06,0.0154488058697694
60000,83,1857038.50804829,114.218594418006,82373.9579282925,1.41995458405882,9.30004289318566e-06,0.0160768489763292
60000,88.5,1974310.08781892,115.641107880998,82308.5885629257,1.42664486597324,9.5061536872016e-06,0.0167069216309825
60000,94,2098093.86268038,117.250771210353,82320.1474753232,1.43704628378353,9.72719708030611e-06,0.0173244041540386
60000,99.5,2223121.8987777,118.821593182549,82342.9336560572,1.4491212118955,9.94871487683612e-06,0.0179323104834339
60000,105,2349600.36845274,120.357530007316,82377.1463662166,1.46279109930345,1.0171088255461e-05,0.0185303908298343
60000,110.5,2477733.96099361,121.861910527391,82422.9317736978,1.47777599114195,1.03946470139421e-05,0.0191187144476362
60000,116,2607716.23410411,123.337359648118,82480.3123629664,1.49381498879456,1.06196657010863e-05,0.0196971480846638
