u,rho,P,T,h,gamma,mu,k
-170000,0.5,547.000194765868,58.9129127328002,-168905.999610421,14.716996681495,4.46112165620269e-06,0.00495908600262305
-170000,8.88590604026846,2895.96298576767,66.0234646126129,-169674.094799938,-513.394681768696,4.98822262380616e-06,0.00589554667772817
-170000,17.2718120805369,3516.82027102027,66.9776037111085,-169796.383827323,-6806.01130472812,5.02366068812518e-06,0.00628562525274203
-170000,25.6577181208054,3820.14142798214,67.3932670970261,-169851.111411778,-36516.5310732677,5.01831333177089e-06,0.00662286208487406
-170000,34.0436241610738,4001.22376537797,67.6284449289058,-169882.467749425,-129308.30274366,5.00140178115444e-06,0.00694360234902659
-170000,42.4295302013423,4121.84468049401,67.780217627568,-169902.854340811,-356666.486088155,4.98144926060694e-06,0.00725835975040708
-170000,50.8154362416107,4208.03710782017,67.8864173045284,-169917.189786823,-831973.397189732,4.96228238511794e-06,0.00757200774603792
-170000,59.2013422818792,4272.73186531164,67.964944393413,-169927.827111672,-1720746.53172653,4.94613923762535e-06,0.00788776178727497
-170000,67.5872483221476,4323.09359065104,68.0253909944504,-169936.036845737,-3250780.15635486,4.93458465290669e-06,0.00820839232860712
-170000,75.9731543624161,4363.41704752137,68.0733677321434,-169942.566330381,-5721815.84255498,4.92884885098792e-06,0.00853670343015164
-170000,84.3590604026846,4396.43496968977,68.1123781461339,-169947.884258684,-9514224.19627805,4.92997256605439e-06,0.00887575956598956
-170000,92.744966442953,4423.96972484036,68.1447241048695,-169952.299624502,-15096011.9295014,4.9388758746076e-06,0.00922900796587446
-170000,101.130872483221,4447.28358278892,68.1719808399518,-169956.024471326,-23027277.998635,4.95639324411097e-06,0.00960034962892006
-170000,109.51677852349,4467.27869876681,68.1952629526221,-169959.209184574,-33961033.40984,4.98329227196128e-06,0.00999418060316037
-170000,117.902684563758,4484.61706758887,68.2153814475933,-169961.963401562,-48639076.910496,5.02028401296743e-06,0.010415413140505
-170000,126.288590604027,4499.7954974225,68.232940582286,-169964.368946744,-67881390.9721413,5.0680287497648e-06,0.0108694813449586
-170000,134.674496644295,4513.19413349051,68.2483998424,-169966.488130671,-92567299.8913622,5.12713920909484e-06,0.0113623337164095
-170000,143.060402684564,4525.10881861476,68.2621148725313,-169968.369243105,-123606428.428213,5.19818232109394e-06,0.0119004139750222
-170000,151.446308724832,4535.77324400686,68.2743652565605,-169970.050288567,-161897332.727558,5.28168015017307e-06,0.0124906310873503
-170000,159.832214765101,4545.37446197918,68.2853738285452,-169971.561587452,-208271566.735521,5.37811037175874e-06,0.0131403192208557
-170000,168.218120805369,4554.06397176815,68.2953203821429,-169972.927625455,-263420922.225304,5.48790652518774e-06,0.013857188295379
-170000,176.604026845638,4561.96578585868,68.3043515874603,-169974.168393173,-327805667.832339,5.61145818838723e-06,0.0146492658120764
-170000,184.989932885906,4569.18239491224,68.3125882858335,-169975.300372709,-401541844.188447,5.74911116842137e-06,0.0155248306877382
-170000,193.375838926175,4575.79924357261,68.3201309374962,-169976.337275283,-484266082.395566,5.90116776955316e-06,0.0164923398861113
-170000,201.761744966443,4581.88813363867,68.3270637458592,-169977.290600186,-574977036.235129,6.06788717940526e-06,0.0175603487067888
-170000,210.147651006711,4587.5098430469,68.3334578189699,-169978.170063663,-671853387.50983,6.24948599969311e-06,0.0187374256596694
-170000,218.53355704698,4592.71616373286,68.3393736206404,-169978.983931687,-772049527.040553,6.44613893825924e-06,0.0200320629146623
-170000,226.919463087248,4597.55150346143,68.3448628907576,-169979.739280884,-871471451.293968,6.65797967219566e-06,0.0214525833694263
-170000,235.305369127517,4602.05415674972,68.3499701642556,-169980.442205064,-964537154.235368,6.88510188675658e-06,0.0230070454205908
-170000,243.691275167785,4606.25732198699,68.3547339833269,-169981.097980145,-1043927826.56599,7.12756049092521e-06,0.0247031465548889
-170000,252.077181208054,4610.1899219905,68.3591878728133,-169981.711196944,-1100338468.4679,7.38537300753523e-06,0.0265481268951071
-170000,260.463087248322,4613.87727093796,68.3633611310587,-169982.285868913,-1122239018.32834,7.65852113350495e-06,0.0285486738412801
-170000,268.848993288591,4617.34162022323,68.3672794757225,-169982.825520142,-1095659707.21247,7.9469524638611e-06,0.0307108289399545
-170000,277.234899328859,4620.60260812459,68.3709655746646,-169983.333257756,-1004016939.30416,8.25058237169887e-06,0.0330398980936627
-170000,285.620805369128,4623.67763250204,68.3744394850845,-169983.811831822,-827998405.544399,8.569296034976e-06,0.0355403661892675
-170000,294.006711409396,4626.58216146945,68.3777190188958,-169984.263685208,-545528155.910773,8.90295060001701e-06,0.0382158171779921
-170000,302.392617449664,4629.32999375898,68.3808200483989,-169984.690995328,-131833744.19508,9.25137747077673e-06,0.041068860582392
-170000,310.778523489933,4631.93347803651,68.383756763336,-169985.095709234,440361951.617994,9.61438471225671e-06,0.0441010653369652
-170000,319.164429530201,4634.40369852033,68.386541888112,-169985.479573318,1200502325.8862,9.99175955596225e-06,0.0473129017905026
-170000,327.55033557047,4636.75063280157,68.3891868662119,-169985.844158502,2179692316.43421,1.03832709949249e-05,0.0507036926105738
-170000,335.936241610738,4638.98328659367,68.3917020174402,-169986.190881745,3410011503.37761,1.07886724555752e-05,0.0542715732349425
-170000,344.322147651007,4641.10980926607,68.3940966725581,-169986.521024452,4923635023.14364,1.12077045336406e-05,0.058013462412252
-170000,352.708053691275,4643.13759327217,68.3963792890073,-169986.835748307,6751760182.893,1.16400977812339e-05,0.0619250432664503
-170000,361.093959731544,4645.07336004149,68.3985575507589,-169987.136108941,8923346626.56609,1.20855755324123e-05,0.0660007552072275
-170000,369.479865771812,4646.9232344322,68.4006384547664,-169987.423067764,11463689789.3133,1.25438567546848e-05,0.0702337968937384
-170000,377.865771812081,4648.69280948635,68.4026283860763,-169987.697502246,14392860847.9204,1.3014658914259e-05,0.0746161403422575
-170000,386.251677852349,4650.38720292927,68.4045331832951,-169987.960214881,17724060888.4034,1.3497700843203e-05,0.079138556151614
-170000,394.637583892617,4652.01110661284,68.4063581958235,-169988.211941041,21461951806.0224,1.39927055971844e-05,0.0837906497045351
-170000,403.023489932886,4653.56882991769,68.4081083340498,-169988.453355831,25601040552.2817,1.44994032930052e-05,0.0885609080896425
-170000,411.409395973154,4655.06433794667,68.4097881134802,-169988.685080157,30124205588.8977,1.50175339157796e-05,0.0934367573791823
-170000,419.795302013423,4656.50128523699,68.4114016936571,-169988.907686049,35001463509.2367,1.55468500863109e-05,0.0984046297925055
-170000,428.181208053691,4657.88304558226,68.4129529125576,-169989.121701378,40189078404.4623,1.60871197799788e-05,0.103450040176319
-170000,436.56711409396,4659.21273848486,68.4144453170817,-169989.327614041,45629115400.5915,1.66381289892724e-05,0.108557671140438
-170000,444.953020134228,4660.49325267259,68.4158821901356,-169989.525875673,51249531777.5196,1.7199684322975e-05,0.113711466103374
-170000,453.338926174497,4661.72726705266,68.4172665747454,-169989.716904953,56964883432.0962,1.77716155359204e-05,0.11889472942627
-170000,461.724832214765,4662.91726942248,68.4186012955754,-169989.901090555,62677700867.4279,1.83537779841968e-05,0.124090232747157
-170000,470.110738255034,4664.06557321389,68.4198889781701,-169990.078793797,68280557685.0899,1.89460550016645e-05,0.129280326570846
-170000,478.496644295302,4665.17433250749,68.4211320661983,-169990.250350995,73658816733.6772,1.954836019467e-05,0.13444705612347
-170000,486.88255033557,4666.24555552046,68.4223328369329,-169990.416075598,78693996385.0849,2.01606396528815e-05,0.139572280445063
-170000,495.268456375839,4667.28111674809,68.4234934151781,-169990.576260093,83267654362.504,2.07828740752317e-05,0.144637793668797
-170000,503.654362416107,4668.28276791285,68.4246157858207,-169990.731177737,87265642261.8744,2.14150808110288e-05,0.149625447421759
-170000,512.040268456376,4669.25214785426,68.4257018051612,-169990.881084097,90582543974.2006,2.20573158173799e-05,0.154517273279335
-170000,520.426174496644,4670.19079147698,68.4267532111596,-169991.026218472,93126079397.8887,2.27096755351649e-05,0.159295604213271
-170000,528.812080536913,4671.10013786253,68.4277716327192,-169991.166805166,94821234745.014,2.3372298686893e-05,0.163943193991962
-170000,537.197986577181,4671.9815376328,68.4287585981096,-169991.303054639,95613875479.539,2.40453680008681e-05,0.168443333520239
-170000,545.58389261745,4672.83625964373,68.4297155426191,-169991.43516456,95473609646.5808,2.47291118671813e-05,0.172779963144311
-170000,553.969798657718,4673.66549708106,68.4306438155213,-169991.563320767,94395698963.1034,2.54238059321393e-05,0.176937779994914
-170000,562.355704697987,4674.4703730181,68.4315446864225,-169991.687698135,92401861919.1232,2.61297746388156e-05,0.18090233949772
-170000,570.741610738255,4675.2519454925,68.4324193510585,-169991.808461381,89539875005.2063,2.68473927224903e-05,0.184660150243643
-170000,579.127516778523,4676.01121214498,68.4332689365876,-169991.925765784,85881951143.0855,2.75770866708068e-05,0.188198761482285
-170000,587.513422818792,4676.74911447002,68.4340945064398,-169992.039757847,81521953165.0777,2.8319336159538e-05,0.191506842578264
-170000,595.89932885906,4677.46654170991,68.4348970647568,-169992.150575919,76571578502.9689,2.9074675475901e-05,0.194574253852035
-170000,604.285234899329,4678.16433443087,68.4356775604679,-169992.258350752,71155722427.6896,2.98436949424071e-05,0.197392108312615
-170000,612.671140939597,4678.84328780889,68.4364368910335,-169992.363206009,65407284808.182,3.06270423552721e-05,0.199952823878914
-170000,621.057046979866,4679.50415465136,68.4371759058867,-169992.465258743,59461723961.7452,3.1425424452446e-05,0.202250165777733
-170000,629.442953020134,4680.14764818427,68.4378954096059,-169992.564619835,53451676876.208,3.22396084273547e-05,0.204279278899169
-170000,637.828859060403,4680.77444461786,68.4385961648354,-169992.661394389,47501956116.1981,3.30704235054803e-05,0.206036709983265
-170000,646.214765100671,4681.38518551851,68.4392788949828,-169992.755682108,41725200668.5945,3.39187626019415e-05,0.207520419603971
-170000,654.60067114094,4681.98047999857,68.4399442867106,-169992.847577637,36218403806.7131,3.47855840792816e-05,0.208729784007345
-170000,662.986577181208,4682.56090674321,68.4405929922392,-169992.937170876,31060470829.1883,3.56719136257208e-05,0.209665586949188
-170000,671.372483221477,4683.12701588733,68.441225631481,-169993.024547279,26310879898.1427,3.65788462752001e-05,0.210330001762355
-170000,679.758389261745,4683.67933075423,68.4418427940157,-169993.109788119,22009437632.0171,3.75075485916266e-05,0.210726563964937
-170000,688.144295302013,4684.21834947015,68.4424450409234,-169993.192970745,18177045061.9797,3.84592610408364e-05,0.21086013479661
-170000,696.530201342282,4684.74454646117,68.443032906485,-169993.27416882,14817325652.824,3.94353005749244e-05,0.210736856141275
-170000,704.91610738255,4685.25837384848,68.443606899766,-169993.353452525,11918920372.125,4.04370634547564e-05,0.210364097358637
-170000,713.302013422819,4685.76026274192,68.4441675060837,-169993.430888777,9458228252.63897,4.14660283376756e-05,0.209750394605791
