T_K,P_Pa,boiling_T_K
270,1723689.323292,453.024980991348
270,1792636.89622368,454.961710568081
270,1861584.46915536,456.750892983299
270,1930532.04208704,458.537099535934
270,1999479.61501872,460.301439976298
270,2068427.1879504,461.966840288657
270,2137374.76088208,463.632240601016
270,2206322.33381376,465.276285511519
270,2275269.90674544,466.822195218508
270,2344217.47967712,468.368104925496
270,2413165.0526088,469.914014632484
270,2482112.62554048,471.362188818838
270,2551060.19847216,472.804606662597
270,2620007.77140384,474.247024506356
270,2688955.34433552,475.643659069053
270,2757902.9172672,476.990291352875
270,2826850.49019888,478.336923636697
270,2895798.06313056,479.683555920519
270,2964745.63606224,480.959011564768
270,3033693.20899392,482.212603799889
270,3102640.7819256,483.466196035011
270,3171588.35485728,484.719788270132
270,3240535.92778896,485.907388606593
270,3309483.50072064,487.075991537638
270,3378431.07365232,488.244594468683
270,3447378.646584,489.413197399729
272,1723689.323292,453.024980991348
272,1792636.89622368,454.961710568081
272,1861584.46915536,456.750892983299
272,1930532.04208704,458.537099535934
272,1999479.61501872,460.301439976298
272,2068427.1879504,461.966840288657
272,2137374.76088208,463.632240601016
272,2206322.33381376,465.276285511519
272,2275269.90674544,466.822195218508
272,2344217.47967712,468.368104925496
272,2413165.0526088,469.914014632484
272,2482112.62554048,471.362188818838
272,2551060.19847216,472.804606662597
272,2620007.77140384,474.247024506356
272,2688955.34433552,475.643659069053
272,2757902.9172672,476.990291352875
272,2826850.49019888,478.336923636697
272,2895798.06313056,479.683555920519
272,2964745.63606224,480.959011564768
272,3033693.20899392,482.212603799889
272,3102640.7819256,483.466196035011
272,3171588.35485728,484.719788270132
272,3240535.92778896,485.907388606593
272,3309483.50072064,487.075991537638
272,3378431.07365232,488.244594468683
272,3447378.646584,489.413197399729
274,1723689.323292,453.024980991348
274,1792636.89622368,454.961710568081
274,1861584.46915536,456.750892983299
274,1930532.04208704,458.537099535934
274,1999479.61501872,460.301439976298
274,2068427.1879504,461.966840288657
274,2137374.76088208,463.632240601016
274,2206322.33381376,465.276285511519
274,2275269.90674544,466.822195218508
274,2344217.47967712,468.368104925496
274,2413165.0526088,469.914014632484
274,2482112.62554048,471.362188818838
274,2551060.19847216,472.804606662597
274,2620007.77140384,474.247024506356
274,2688955.34433552,475.643659069053
274,2757902.9172672,476.990291352875
274,2826850.49019888,478.336923636697
274,2895798.06313056,479.683555920519
274,2964745.63606224,480.959011564768
274,3033693.20899392,482.212603799889
274,3102640.7819256,483.466196035011
274,3171588.35485728,484.719788270132
274,3240535.92778896,485.907388606593
274,3309483.50072064,487.075991537638
274,3378431.07365232,488.244594468683
274,3447378.646584,489.413197399729
276,1723689.323292,453.024980991348
276,1792636.89622368,454.961710568081
276,1861584.46915536,456.750892983299
276,1930532.04208704,458.537099535934
276,1999479.61501872,460.301439976298
276,2068427.1879504,461.966840288657
276,2137374.76088208,463.632240601016
276,2206322.33381376,465.276285511519
276,2275269.90674544,466.822195218508
276,2344217.47967712,468.368104925496
276,2413165.0526088,469.914014632484
276,2482112.62554048,471.362188818838
276,2551060.19847216,472.804606662597
276,2620007.77140384,474.247024506356
276,2688955.34433552,475.643659069053
276,2757902.9172672,476.990291352875
276,2826850.49019888,478.336923636697
276,2895798.06313056,479.683555920519
276,2964745.63606224,480.959011564768
276,3033693.20899392,482.212603799889
276,3102640.7819256,483.466196035011
276,3171588.35485728,484.719788270132
276,3240535.92778896,485.907388606593
276,3309483.50072064,487.075991537638
276,3378431.07365232,488.244594468683
276,3447378.646584,489.413197399729
278,1723689.323292,453.024980991348
278,1792636.89622368,454.961710568081
278,1861584.46915536,456.750892983299
278,1930532.04208704,458.537099535934
278,1999479.61501872,460.301439976298
278,2068427.1879504,461.966840288657
278,2137374.76088208,463.632240601016
278,2206322.33381376,465.276285511519
278,2275269.90674544,466.822195218508
278,2344217.47967712,468.368104925496
278,2413165.0526088,469.914014632484
278,2482112.62554048,471.362188818838
278,2551060.19847216,472.804606662597
278,2620007.77140384,474.247024506356
278,2688955.34433552,475.643659069053
278,2757902.9172672,476.990291352875
278,2826850.49019888,478.336923636697
278,2895798.06313056,479.683555920519
278,2964745.63606224,480.959011564768
278,3033693.20899392,482.212603799889
278,3102640.7819256,483.466196035011
278,3171588.35485728,484.719788270132
278,3240535.92778896,485.907388606593
278,3309483.50072064,487.075991537638
278,3378431.07365232,488.244594468683
278,3447378.646584,489.413197399729
280,1723689.323292,453.024980991348
280,1792636.89622368,454.961710568081
280,1861584.46915536,456.750892983299
280,1930532.04208704,458.537099535934
280,1999479.61501872,460.301439976298
280,2068427.1879504,461.966840288657
280,2137374.76088208,463.632240601016
280,2206322.33381376,465.276285511519
280,2275269.90674544,466.822195218508
280,2344217.47967712,468.368104925496
280,2413165.0526088,469.914014632484
280,2482112.62554048,471.362188818838
280,2551060.19847216,472.804606662597
280,2620007.77140384,474.247024506356
280,2688955.34433552,475.643659069053
280,2757902.9172672,476.990291352875
280,2826850.49019888,478.336923636697
280,2895798.06313056,479.683555920519
280,2964745.63606224,480.959011564768
280,3033693.20899392,482.212603799889
280,3102640.7819256,483.466196035011
280,3171588.35485728,484.719788270132
280,3240535.92778896,485.907388606593
280,3309483.50072064,487.075991537638
280,3378431.07365232,488.244594468683
280,3447378.646584,489.413197399729
282,1723689.323292,453.024980991348
282,1792636.89622368,454.961710568081
282,1861584.46915536,456.750892983299
282,1930532.04208704,458.537099535934
282,1999479.61501872,460.301439976298
282,2068427.1879504,461.966840288657
282,2137374.76088208,463.632240601016
282,2206322.33381376,465.276285511519
282,2275269.90674544,466.822195218508
282,2344217.47967712,468.368104925496
282,2413165.0526088,469.914014632484
282,2482112.62554048,471.362188818838
282,2551060.19847216,472.804606662597
282,2620007.77140384,474.247024506356
282,2688955.34433552,475.643659069053
282,2757902.9172672,476.990291352875
282,2826850.49019888,478.336923636697
282,2895798.06313056,479.683555920519
282,2964745.63606224,480.959011564768
282,3033693.20899392,482.212603799889
282,3102640.7819256,483.466196035011
282,3171588.35485728,484.719788270132
282,3240535.92778896,485.907388606593
282,3309483.50072064,487.075991537638
282,3378431.07365232,488.244594468683
282,3447378.646584,489.413197399729
284,1723689.323292,453.024980991348
284,1792636.89622368,454.961710568081
284,1861584.46915536,456.750892983299
284,1930532.04208704,458.537099535934
284,1999479.61501872,460.301439976298
284,2068427.1879504,461.966840288657
284,2137374.76088208,463.632240601016
284,2206322.33381376,465.276285511519
284,2275269.90674544,466.822195218508
284,2344217.47967712,468.368104925496
284,2413165.0526088,469.914014632484
284,2482112.62554048,471.362188818838
284,2551060.19847216,472.804606662597
284,2620007.77140384,474.247024506356
284,2688955.34433552,475.643659069053
284,2757902.9172672,476.990291352875
284,2826850.49019888,478.336923636697
284,2895798.06313056,479.683555920519
284,2964745.63606224,480.959011564768
284,3033693.20899392,482.212603799889
284,3102640.7819256,483.466196035011
284,3171588.35485728,484.719788270132
284,3240535.92778896,485.907388606593
284,3309483.50072064,487.075991537638
284,3378431.07365232,488.244594468683
284,3447378.646584,489.413197399729
286,1723689.323292,453.024980991348
286,1792636.89622368,454.961710568081
286,1861584.46915536,456.750892983299
286,1930532.04208704,458.537099535934
286,1999479.61501872,460.301439976298
286,2068427.1879504,461.966840288657
286,2137374.76088208,463.632240601016
286,2206322.33381376,465.276285511519
286,2275269.90674544,466.822195218508
286,2344217.47967712,468.368104925496
286,2413165.0526088,469.914014632484
286,2482112.62554048,471.362188818838
286,2551060.19847216,472.804606662597
286,2620007.77140384,474.247024506356
286,2688955.34433552,475.643659069053
286,2757902.9172672,476.990291352875
286,2826850.49019888,478.336923636697
286,2895798.06313056,479.683555920519
286,2964745.63606224,480.959011564768
286,3033693.20899392,482.212603799889
286,3102640.7819256,483.466196035011
286,3171588.35485728,484.719788270132
286,3240535.92778896,485.907388606593
286,3309483.50072064,487.075991537638
286,3378431.07365232,488.244594468683
286,3447378.646584,489.413197399729
288,1723689.323292,453.024980991348
288,1792636.89622368,454.961710568081
288,1861584.46915536,456.750892983299
288,1930532.04208704,458.537099535934
288,1999479.61501872,460.301439976298
288,2068427.1879504,461.966840288657
288,2137374.76088208,463.632240601016
288,2206322.33381376,465.276285511519
288,2275269.90674544,466.822195218508
288,2344217.47967712,468.368104925496
288,2413165.0526088,469.914014632484
288,2482112.62554048,471.362188818838
288,2551060.19847216,472.804606662597
288,2620007.77140384,474.247024506356
288,2688955.34433552,475.643659069053
288,2757902.9172672,476.990291352875
288,2826850.49019888,478.336923636697
288,2895798.06313056,479.683555920519
288,2964745.63606224,480.959011564768
288,3033693.20899392,482.212603799889
288,3102640.7819256,483.466196035011
288,3171588.35485728,484.719788270132
288,3240535.92778896,485.907388606593
288,3309483.50072064,487.075991537638
288,3378431.07365232,488.244594468683
288,3447378.646584,489.413197399729
290,1723689.323292,453.024980991348
290,1792636.89622368,454.961710568081
290,1861584.46915536,456.750892983299
290,1930532.04208704,458.537099535934
290,1999479.61501872,460.301439976298
290,2068427.1879504,461.966840288657
290,2137374.76088208,463.632240601016
290,2206322.33381376,465.276285511519
290,2275269.90674544,466.822195218508
290,2344217.47967712,468.368104925496
290,2413165.0526088,469.914014632484
290,2482112.62554048,471.362188818838
290,2551060.19847216,472.804606662597
290,2620007.77140384,474.247024506356
290,2688955.34433552,475.643659069053
290,2757902.9172672,476.990291352875
290,2826850.49019888,478.336923636697
290,2895798.06313056,479.683555920519
290,2964745.63606224,480.959011564768
290,3033693.20899392,482.212603799889
290,3102640.7819256,483.466196035011
290,3171588.35485728,484.719788270132
290,3240535.92778896,485.907388606593
290,3309483.50072064,487.075991537638
290,3378431.07365232,488.244594468683
290,3447378.646584,489.413197399729
292,1723689.323292,453.024980991348
