T_K,P_Pa,cp_J_kg_K
270,1723689.323292,2290
270,1792636.89622368,2290
270,1861584.46915536,2290
270,1930532.04208704,2290
270,1999479.61501872,2290
270,2068427.1879504,2290
270,2137374.76088208,2290
270,2206322.33381376,2290
270,2275269.90674544,2290
270,2344217.47967712,2290
270,2413165.0526088,2290
270,2482112.62554048,2290
270,2551060.19847216,2290
270,2620007.77140384,2290
270,2688955.34433552,2290
270,2757902.9172672,2290
270,2826850.49019888,2290
270,2895798.06313056,2290
270,2964745.63606224,2290
270,3033693.20899392,2289.66306791006
270,3102640.7819256,2288.97359218074
270,3171588.35485728,2288.28411645143
270,3240535.92778896,2287.59464072211
270,3309483.50072064,2286.90516499279
270,3378431.07365232,2286.21568926348
270,3447378.646584,2285.52621353416
272,1723689.323292,2306
272,1792636.89622368,2306
272,1861584.46915536,2306
272,1930532.04208704,2306
272,1999479.61501872,2306
272,2068427.1879504,2305.7262912482
272,2137374.76088208,2305.45050095647
272,2206322.33381376,2305.17471066474
272,2275269.90674544,2304.89892037302
272,2344217.47967712,2304.62313008129
272,2413165.0526088,2304.34733978956
272,2482112.62554048,2304.07154949784
272,2551060.19847216,2303.79575920611
272,2620007.77140384,2303.51996891438
272,2688955.34433552,2303.24417862266
272,2757902.9172672,2302.96838833093
272,2826850.49019888,2302.6925980392
272,2895798.06313056,2302.41680774748
272,2964745.63606224,2302.14101745575
272,3033693.20899392,2301.79784074604
272,3102640.7819256,2301.38415530845
272,3171588.35485728,2300.97046987086
272,3240535.92778896,2300.55678443327
272,3309483.50072064,2300.14309899568
272,3378431.07365232,2299.72941355809
272,3447378.646584,2299.3157281205
274,1723689.323292,2322
274,1792636.89622368,2322
274,1861584.46915536,2322
274,1930532.04208704,2322
274,1999479.61501872,2322
274,2068427.1879504,2321.4525824964
274,2137374.76088208,2320.90100191294
274,2206322.33381376,2320.34942132949
274,2275269.90674544,2319.79784074604
274,2344217.47967712,2319.24626016258
274,2413165.0526088,2318.69467957913
274,2482112.62554048,2318.14309899568
274,2551060.19847216,2317.59151841222
274,2620007.77140384,2317.03993782877
274,2688955.34433552,2316.48835724532
274,2757902.9172672,2315.93677666186
274,2826850.49019888,2315.38519607841
274,2895798.06313056,2314.83361549496
274,2964745.63606224,2314.2820349115
274,3033693.20899392,2313.93261358201
274,3102640.7819256,2313.79471843615
274,3171588.35485728,2313.65682329029
274,3240535.92778896,2313.51892814442
274,3309483.50072064,2313.38103299856
274,3378431.07365232,2313.24313785269
274,3447378.646584,2313.10524270683
276,1723689.323292,2338
276,1792636.89622368,2338
276,1861584.46915536,2338
276,1930532.04208704,2338
276,1999479.61501872,2338
276,2068427.1879504,2337.4525824964
276,2137374.76088208,2336.90100191294
276,2206322.33381376,2336.34942132949
276,2275269.90674544,2335.79784074604
276,2344217.47967712,2335.24626016258
276,2413165.0526088,2334.69467957913
276,2482112.62554048,2334.14309899568
276,2551060.19847216,2333.59151841222
276,2620007.77140384,2333.03993782877
276,2688955.34433552,2332.48835724532
276,2757902.9172672,2331.93677666186
276,2826850.49019888,2331.38519607841
276,2895798.06313056,2330.83361549496
276,2964745.63606224,2330.2820349115
276,3033693.20899392,2330
276,3102640.7819256,2330
276,3171588.35485728,2330
276,3240535.92778896,2330
276,3309483.50072064,2330
276,3378431.07365232,2330
276,3447378.646584,2330
278,1723689.323292,2354
278,1792636.89622368,2354
278,1861584.46915536,2354
278,1930532.04208704,2354
278,1999479.61501872,2354
278,2068427.1879504,2353.7262912482
278,2137374.76088208,2353.45050095647
278,2206322.33381376,2353.17471066474
278,2275269.90674544,2352.89892037302
278,2344217.47967712,2352.62313008129
278,2413165.0526088,2352.34733978956
278,2482112.62554048,2352.07154949784
278,2551060.19847216,2351.79575920611
278,2620007.77140384,2351.51996891438
278,2688955.34433552,2351.24417862266
278,2757902.9172672,2350.96838833093
278,2826850.49019888,2350.6925980392
278,2895798.06313056,2350.41680774748
278,2964745.63606224,2350.14101745575
278,3033693.20899392,2350
278,3102640.7819256,2350
278,3171588.35485728,2350
278,3240535.92778896,2350
278,3309483.50072064,2350
278,3378431.07365232,2350
278,3447378.646584,2350
280,1723689.323292,2370
280,1792636.89622368,2370
