T_K,P_Pa,rho_kg_m3
270,1723689.323292,802.5682183
270,1792636.89622368,802.5682183
270,1861584.46915536,802.5682183
270,1930532.04208704,802.5682183
270,1999479.61501872,802.5682183
270,2068427.1879504,802.612328730293
270,2137374.76088208,802.656774617969
270,2206322.33381376,802.701220505646
270,2275269.90674544,802.745666393322
270,2344217.47967712,802.790112280999
270,2413165.0526088,802.834558168675
270,2482112.62554048,802.879004056351
270,2551060.19847216,802.923449944028
270,2620007.77140384,802.967895831704
270,2688955.34433552,803.012341719381
270,2757902.9172672,803.056787607057
270,2826850.49019888,803.101233494733
270,2895798.06313056,803.14567938241
270,2964745.63606224,803.190125270086
270,3033693.20899392,803.2128514
270,3102640.7819256,803.2128514
270,3171588.35485728,803.2128514
270,3240535.92778896,803.2128514
270,3309483.50072064,803.2128514
270,3378431.07365232,803.2128514
270,3447378.646584,803.2128514
272,1723689.323292,801.28513562
272,1792636.89622368,801.28513562
272,1861584.46915536,801.28513562
272,1930532.04208704,801.28513562
272,1999479.61501872,801.28513562
272,2068427.1879504,801.329105235351
272,2137374.76088208,801.373409237196
272,2206322.33381376,801.417713239041
272,2275269.90674544,801.462017240886
272,2344217.47967712,801.506321242731
272,2413165.0526088,801.550625244576
272,2482112.62554048,801.594929246422
272,2551060.19847216,801.639233248266
272,2620007.77140384,801.683537250112
272,2688955.34433552,801.727841251957
272,2757902.9172672,801.772145253802
272,2826850.49019888,801.816449255647
272,2895798.06313056,801.860753257492
272,2964745.63606224,801.905057259337
272,3033693.20899392,801.92771084
272,3102640.7819256,801.92771084
272,3171588.35485728,801.92771084
272,3240535.92778896,801.92771084
272,3309483.50072064,801.92771084
272,3378431.07365232,801.92771084
272,3447378.646584,801.92771084
274,1723689.323292,800.00205294
274,1792636.89622368,800.00205294
274,1861584.46915536,800.00205294
274,1930532.04208704,800.00205294
274,1999479.61501872,800.00205294
274,2068427.1879504,800.04588174041
274,2137374.76088208,800.090043856423
274,2206322.33381376,800.134205972437
274,2275269.90674544,800.178368088451
274,2344217.47967712,800.222530204464
274,2413165.0526088,800.266692320478
274,2482112.62554048,800.310854436492
274,2551060.19847216,800.355016552505
274,2620007.77140384,800.399178668519
274,2688955.34433552,800.443340784533
274,2757902.9172672,800.487502900546
274,2826850.49019888,800.53166501656
274,2895798.06313056,800.575827132573
274,2964745.63606224,800.619989248587
274,3033693.20899392,800.64257028
274,3102640.7819256,800.64257028
274,3171588.35485728,800.64257028
274,3240535.92778896,800.64257028
274,3309483.50072064,800.64257028
274,3378431.07365232,800.64257028
274,3447378.646584,800.64257028
276,1723689.323292,798.654072473256
276,1792636.89622368,798.671540908986
276,1861584.46915536,798.689009344717
276,1930532.04208704,798.706477780447
276,1999479.61501872,798.723946216177
276,2068427.1879504,798.759084774351
276,2137374.76088208,798.79435771283
276,2206322.33381376,798.829630651308
276,2275269.90674544,798.864903589786
276,2344217.47967712,798.900176528265
276,2413165.0526088,798.935449466743
276,2482112.62554048,798.970722405221
276,2551060.19847216,799.0059953437
276,2620007.77140384,799.041268282178
276,2688955.34433552,799.076541220657
276,2757902.9172672,799.111814159135
276,2826850.49019888,799.147087097613
276,2895798.06313056,799.182360036091
276,2964745.63606224,799.21763297457
276,3033693.20899392,799.239943808724
276,3102640.7819256,799.248691947104
276,3171588.35485728,799.257440085484
276,3240535.92778896,799.266188223864
276,3309483.50072064,799.274936362245
276,3378431.07365232,799.283684500625
276,3447378.646584,799.292432639005
278,1723689.323292,797.241194219768
278,1792636.89622368,797.293599526959
278,1861584.46915536,797.34600483415
278,1930532.04208704,797.39841014134
278,1999479.61501872,797.450815448531
278,2068427.1879504,797.468714337175
278,2137374.76088208,797.486350806415
278,2206322.33381376,797.503987275654
278,2275269.90674544,797.521623744893
278,2344217.47967712,797.539260214132
278,2413165.0526088,797.556896683371
278,2482112.62554048,797.574533152611
278,2551060.19847216,797.59216962185
278,2620007.77140384,797.609806091089
278,2688955.34433552,797.627442560328
278,2757902.9172672,797.645079029567
278,2826850.49019888,797.662715498807
278,2895798.06313056,797.680351968046
278,2964745.63606224,797.697988437285
278,3033693.20899392,797.719831426173
278,3102640.7819256,797.746075841313
278,3171588.35485728,797.772320256453
278,3240535.92778896,797.798564671593
278,3309483.50072064,797.824809086734
278,3378431.07365232,797.851053501874
278,3447378.646584,797.877297917014
280,1723689.323292,795.82831596628
280,1792636.89622368,795.915658144932
280,1861584.46915536,796.003000323583
280,1930532.04208704,796.090342502234
280,1999479.61501872,796.177684680885
280,2068427.1879504,796.1783439
280,2137374.76088208,796.1783439
280,2206322.33381376,796.1783439
280,2275269.90674544,796.1783439
280,2344217.47967712,796.1783439
280,2413165.0526088,796.1783439
280,2482112.62554048,796.1783439
280,2551060.19847216,796.1783439
280,2620007.77140384,796.1783439
280,2688955.34433552,796.1783439
280,2757902.9172672,796.1783439
