T_K,P_Pa,state,is_boiling
270,1723689.323292,liquid,0
270,1792636.89622368,liquid,0
270,1861584.46915536,liquid,0
270,1930532.04208704,liquid,0
270,1999479.61501872,liquid,0
270,2068427.1879504,liquid,0
270,2137374.76088208,liquid,0
270,2206322.33381376,liquid,0
270,2275269.90674544,liquid,0
270,2344217.47967712,liquid,0
270,2413165.0526088,liquid,0
270,2482112.62554048,liquid,0
270,2551060.19847216,liquid,0
270,2620007.77140384,liquid,0
270,2688955.34433552,liquid,0
270,2757902.9172672,liquid,0
270,2826850.49019888,liquid,0
270,2895798.06313056,liquid,0
270,2964745.63606224,liquid,0
270,3033693.20899392,liquid,0
270,3102640.7819256,liquid,0
270,3171588.35485728,liquid,0
270,3240535.92778896,liquid,0
270,3309483.50072064,liquid,0
270,3378431.07365232,liquid,0
270,3447378.646584,liquid,0
272,1723689.323292,liquid,0
272,1792636.89622368,liquid,0
272,1861584.46915536,liquid,0
272,1930532.04208704,liquid,0
272,1999479.61501872,liquid,0
272,2068427.1879504,liquid,0
272,2137374.76088208,liquid,0
272,2206322.33381376,liquid,0
272,2275269.90674544,liquid,0
272,2344217.47967712,liquid,0
272,2413165.0526088,liquid,0
272,2482112.62554048,liquid,0
272,2551060.19847216,liquid,0
272,2620007.77140384,liquid,0
272,2688955.34433552,liquid,0
272,2757902.9172672,liquid,0
272,2826850.49019888,liquid,0
272,2895798.06313056,liquid,0
272,2964745.63606224,liquid,0
272,3033693.20899392,liquid,0
272,3102640.7819256,liquid,0
272,3171588.35485728,liquid,0
272,3240535.92778896,liquid,0
272,3309483.50072064,liquid,0
272,3378431.07365232,liquid,0
272,3447378.646584,liquid,0
274,1723689.323292,liquid,0
274,1792636.89622368,liquid,0
274,1861584.46915536,liquid,0
274,1930532.04208704,liquid,0
274,1999479.61501872,liquid,0
274,2068427.1879504,liquid,0
274,2137374.76088208,liquid,0
274,2206322.33381376,liquid,0
274,2275269.90674544,liquid,0
274,2344217.47967712,liquid,0
274,2413165.0526088,liquid,0
274,2482112.62554048,liquid,0
274,2551060.19847216,liquid,0
274,2620007.77140384,liquid,0
274,2688955.34433552,liquid,0
274,2757902.9172672,liquid,0
274,2826850.49019888,liquid,0
274,2895798.06313056,liquid,0
274,2964745.63606224,liquid,0
274,3033693.20899392,liquid,0
274,3102640.7819256,liquid,0
274,3171588.35485728,liquid,0
274,3240535.92778896,liquid,0
274,3309483.50072064,liquid,0
274,3378431.07365232,liquid,0
274,3447378.646584,liquid,0
276,1723689.323292,liquid,0
276,1792636.89622368,liquid,0
276,1861584.46915536,liquid,0
276,1930532.04208704,liquid,0
276,1999479.61501872,liquid,0
276,2068427.1879504,liquid,0
276,2137374.76088208,liquid,0
276,2206322.33381376,liquid,0
276,2275269.90674544,liquid,0
276,2344217.47967712,liquid,0
276,2413165.0526088,liquid,0
276,2482112.62554048,liquid,0
276,2551060.19847216,liquid,0
276,2620007.77140384,liquid,0
276,2688955.34433552,liquid,0
276,2757902.9172672,liquid,0
276,2826850.49019888,liquid,0
276,2895798.06313056,liquid,0
276,2964745.63606224,liquid,0
276,3033693.20899392,liquid,0
276,3102640.7819256,liquid,0
276,3171588.35485728,liquid,0
276,3240535.92778896,liquid,0
276,3309483.50072064,liquid,0
276,3378431.07365232,liquid,0
276,3447378.646584,liquid,0
278,1723689.323292,liquid,0
278,1792636.89622368,liquid,0
278,1861584.46915536,liquid,0
278,1930532.04208704,liquid,0
278,1999479.61501872,liquid,0
278,2068427.1879504,liquid,0
278,2137374.76088208,liquid,0
278,2206322.33381376,liquid,0
278,2275269.90674544,liquid,0
278,2344217.47967712,liquid,0
278,2413165.0526088,liquid,0
278,2482112.62554048,liquid,0
278,2551060.19847216,liquid,0
278,2620007.77140384,liquid,0
278,2688955.34433552,liquid,0
278,2757902.9172672,liquid,0
278,2826850.49019888,liquid,0
278,2895798.06313056,liquid,0
278,2964745.63606224,liquid,0
278,3033693.20899392,liquid,0
278,3102640.7819256,liquid,0
278,3171588.35485728,liquid,0
278,3240535.92778896,liquid,0
278,3309483.50072064,liquid,0
278,3378431.07365232,liquid,0
278,3447378.646584,liquid,0
280,1723689.323292,liquid,0
280,1792636.89622368,liquid,0
280,1861584.46915536,liquid,0
280,1930532.04208704,liquid,0
280,1999479.61501872,liquid,0
280,2068427.1879504,liquid,0
280,2137374.76088208,liquid,0
280,2206322.33381376,liquid,0
280,2275269.90674544,liquid,0
280,2344217.47967712,liquid,0
280,2413165.0526088,liquid,0
280,2482112.62554048,liquid,0
280,2551060.19847216,liquid,0
280,2620007.77140384,liquid,0
280,2688955.34433552,liquid,0
280,2757902.9172672,liquid,0
